Place of birth,Total,Male,Female
Guinea,17034,9918,7116
Ivory Coast (2017 or later),11311,6439,4872
Kenya,147235,72850,74385
Liberia,90847,42783,48064
Libya,18708,10002,8706
Morocco,86834,48970,37864
Nigeria,342285,179261,163024
Rwanda (2017 or later),6122,3232,2890
Senegal,26397,15207,11190
Sierra Leone,43577,21261,22316
Somalia,96463,45837,50626
South Africa,108863,54107,54756
Sudan,47068,25681,21387
Tanzania,26244,14225,12019
Togo,24333,12555,11778
Tunisia (2017 or later),3632,2127,1505
Uganda,31091,15151,15940
Democratic Republic of Congo (Zaire),41700,21332,20368
Zambia,14970,7251,7719
Zimbabwe,24277,12115,12162
Africa,124000,64003,59997
South Sudan (2017 or later),4215,2738,1477
"Northern Africa, Not Specified",6643,4094,2549
"Western Africa, not specified",51418,31250,20168
"Other Africa, not specified",27615,13851,13764
"Eastern Africa, Not Specified",36425,17387,19038
Australia,108666,54417,54249
Fiji,45827,21965,23862
Marshall Islands,23462,11863,11599
Micronesia,30988,14071,16917
New Zealand,35662,18223,17439
Tonga,18080,9072,9008
Samoa,13728,6883,6845
"Other US Island Areas, Oceania, Not Specified, or at Sea",14971,6576,8395
